19.72 19.332 19.117 29.095 27.539 31.736 26.787 28.366 25.161 25.863 25.438 29.153 27.896 21.481 29.502 26.962 27.446 28.533 27.937 22.227
184.882 184.041 184.714 252.585 254.858 259.297 249.542 247.709 249.875 251.448 243.265 243.521 257.004 236.706 243.763 225.539 243.728 251.842 242.415 262.992
332.514 332.37 485.218 387.347 388.587 396.224 410.868 402.436 404.358 447.674 400.555 395.7 401.658 387.231 396.224 391.273 381.179 390.418 399.042 390.294
314.811 316.304 323.783 320.092 322.218 322.476 325.222 327.052 292.93 314.461 330.425 326.723 330.013 324.374 332.654 314.514 320.773 332.007 349.184 322.7
203.165 213.041 217.62 213.914 210.43 209.477 221.21 219.522 207.914 202.373 223.296 217.534 211.533 194.092 208.127 218.506 208.697 207.809 223.463 210.642
380.069 396.916 376.794 393.854 394.133 394.731 390.071 390.814 378.224 396.882 393.974 394.038 387.739 388.61 393.541 396.068 385.436 385.454 396.321 394.251
619.147 631.358 632.08 623.647 620.085 651.982 630.72 634.49 637.806 624.787 627.126 615.286 638.87 619.215 634.347 642.201 630.448 617.901 642.121 633.2
524.719 541.529 537.063 522.804 525.433 507.499 531.606 533.026 516.017 516.461 509.543 511.796 521.86 523.331 530.235 524.412 531.245 527.051 538.334 517.439
362.999 371.767 363.392 359.401 375.792 370.882 368.527 377.508 364.765 349.711 363.165 359.92 365.07 367.038 377.772 366.982 375.912 370.769 375.93 363.313
19.607 19.285 19.144 26.001 30.929 32.215 26.315 26.325 24.418 28.633 26.645 28.15 25.313 25.564 27.014 25.763 32.503 28.771 25.504 24.043
184.375 184.63 222.295 250.474 252.021 249.125 252.693 242.958 253.664 251.982 252.043 252.25 242.378 247.625 252.39 243.904 263.083 255.786 243.348 225.295
332.184 332.578 396.555 396.081 388.968 406.367 395.692 423.909 381.056 389.451 388.314 383.111 407.311 400.226 414.878 406.781 392.225 385.082 392.137 402.339
331.481 327.618 323.972 331.633 325.737 334.056 325.385 340.489 322.131 336.604 327.495 323.486 334.88 339.277 344.835 334.234 332.891 328.753 327.539 320.652
204.9 216.436 201.973 207.486 219.091 227.752 220.76 221.245 229.525 208.161 224.767 228.806 230.831 219.207 211.49 230.207 221.78 220.757 218.879 219.926
387.007 395.361 386.667 397.078 406.65 393.164 398.508 393.723 390.55 393.132 389.264 385.948 386.904 400.463 382.131 388.942 385.811 391.086 407.983 394.603
636.64 677.887 645.216 637.657 632.541 649.217 626.822 638.097 630.549 643.37 633.081 633.085 636.769 640.565 625.209 636.884 638.623 646.109 633.571 639.185
545.625 536.605 507.767 528.93 549.685 525.501 525.507 513.701 530.457 539.818 529.485 518.114 526.455 529.054 521.73 542.701 532.596 527.448 534.699 532.872
415.247 383.03 348.882 363.594 361.887 383.707 376.737 367.687 368.92 366.635 367.084 377.378 348.857 369.56 374.34 352.615 366.54 372.372 358.965 362.071
19.563 29.828 23.165 28.316 30.305 27.89 28.185 29.992 27.709 26.939 29.022 30.441 27.045 27.955 27.005 31.918 32.013 28.321 31.534 28.761
184.742 232.467 255.423 248.748 252.164 240.621 253.341 250.272 241.929 251.963 255.374 257.155 242.076 246.024 253.021 255.876 256.157 249.548 246.561 249.965
392.307 385.62 394.463 393.955 408.444 401.521 408.742 391.18 389.742 393.2 390.606 395.531 391.26 397.049 389.18 391.794 402.632 394.417 399.659 390.984
321.833 316.474 313.729 311.844 327.519 316.121 353.381 323.868 317.907 311.956 316.576 336.192 317.106 325.898 325.614 325.911 325.628 327.002 333.744 322.752
203.791 211.677 209.044 223.946 202.861 207.187 211.636 210.622 228.544 218.642 211.66 205.965 212.288 217.467 207.267 215.894 215.644 213.541 213.389 210.984
392.142 387.125 391.546 388.597 382.838 381.298 388.164 390.612 383.666 393.118 398.489 380.899 383.533 392.621 387.181 395.399 375.29 387.78 381.834 388.701
577.916 576.536 636.83 643.052 642.586 627.726 634.757 635.954 626.396 648.938 635.174 636.828 646.997 639.237 646.058 628.132 679.922 635.712 638.463 643.535
469.251 468.071 526.786 533.026 521.742 509.187 538.219 517.569 540.116 515.777 535.597 532.309 532.215 520.542 553.544 533.892 527.183 537.719 531.678 530.072
302.927 303.593 372.858 369.5 380.518 366.662 369.094 373.374 373.953 354.759 379.894 375.999 368.95 380.789 375.584 375.635 375.309 362.658 370.053 374.933
21.129 21.225 22.193 20.749 21.758 21.558 21.618 21.392 21.192 21.408 22.276 21.761 21.131 21.394 21.831 21.55 20.712 21.242 20.982 21.85
